종목코드,종목명,ESG등급,환경,사회,지배구조,ESG등급_ca,환경_ca,사회_ca,지배구조_ca,연도,종가,거래량
009680,모토닉,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2018.0,9587.008196721312,15099000.0
009680,모토닉,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2017.0,9460.905349794239,17532230.0
009680,모토닉,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2016.0,9583.455284552845,3592563.0
009680,모토닉,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2015.0,12104.233870967742,5782498.0
009680,모토닉,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2014.0,12810.204081632653,6898021.0
009680,모토닉,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2013.0,11253.603238866397,8217584.0
009680,모토닉,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2012.0,9025.0,7772561.0
009680,모토닉,,B,,B이하,,3.0,,2.0,2011.0,8244.798387096775,12120442.0
014830,유니드,B+,B,B+,B+,5.0,3.0,5.0,5.0,2021.0,105846.2258064516,29372324.0
014830,유니드,B이하,C,B이하,B이하,2.0,1.0,2.0,2.0,2018.0,55324.90573770492,4370803.0
014830,유니드,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2017.0,54003.366255144036,2741762.0
014830,유니드,B이하,C,B이하,B+,2.0,1.0,2.0,5.0,2016.0,53328.60569105691,3140791.0
014830,유니드,B이하,C,B이하,B+,2.0,1.0,2.0,5.0,2015.0,56796.92741935484,4597042.0
014830,유니드,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2014.0,52681.767346938774,4529021.0
014830,유니드,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2013.0,41461.04858299595,3502865.0
014830,유니드,B이하,B,B이하,B+,2.0,3.0,2.0,5.0,2012.0,35684.53629032258,3933282.0
