종목코드,종목명,ESG등급,환경,사회,지배구조,평가년도,ESG등급_ca,환경_ca,사회_ca,지배구조_ca
375500,DL이앤씨,,,,,,,,,
032350,롯데관광개발,B,D,B,B,2021,3.0,0.0,3.0,3.0
032350,롯데관광개발,B이하,B,B이하,B이하,2018,2.0,3.0,2.0,2.0
032350,롯데관광개발,B이하,C,B이하,B이하,2017,2.0,1.0,2.0,2.0
032350,롯데관광개발,B이하,C,B이하,B이하,2016,2.0,1.0,2.0,2.0
032350,롯데관광개발,B이하,C,B이하,B이하,2015,2.0,1.0,2.0,2.0
032350,롯데관광개발,B이하,B,B이하,B이하,2014,2.0,3.0,2.0,2.0
032350,롯데관광개발,B이하,B,B이하,B이하,2012,2.0,3.0,2.0,2.0
032350,롯데관광개발,B이하,B,B이하,B이하,2011,2.0,3.0,2.0,2.0
009680,모토닉,B,B,B,B+,2021,3.0,3.0,3.0,5.0
009680,모토닉,B이하,B,B이하,B이하,2018,2.0,3.0,2.0,2.0
009680,모토닉,B이하,B,B이하,B이하,2017,2.0,3.0,2.0,2.0
009680,모토닉,B이하,B,B이하,B이하,2016,2.0,3.0,2.0,2.0
009680,모토닉,B이하,B,B이하,B이하,2015,2.0,3.0,2.0,2.0
009680,모토닉,B이하,B,B이하,B이하,2014,2.0,3.0,2.0,2.0
009680,모토닉,B이하,B,B이하,B이하,2013,2.0,3.0,2.0,2.0
009680,모토닉,B이하,B,B이하,B이하,2012,2.0,3.0,2.0,2.0
009680,모토닉,,B,,B이하,2011,,3.0,,2.0
014830,유니드,B+,B,B+,B+,2021,5.0,3.0,5.0,5.0
014830,유니드,B이하,C,B이하,B이하,2018,2.0,1.0,2.0,2.0
014830,유니드,B이하,B,B이하,B이하,2017,2.0,3.0,2.0,2.0
014830,유니드,B이하,C,B이하,B+,2016,2.0,1.0,2.0,5.0
014830,유니드,B이하,C,B이하,B+,2015,2.0,1.0,2.0,5.0
014830,유니드,B이하,B,B이하,B이하,2014,2.0,3.0,2.0,2.0
014830,유니드,B이하,B,B이하,B이하,2013,2.0,3.0,2.0,2.0
014830,유니드,B이하,B,B이하,B+,2012,2.0,3.0,2.0,5.0
014830,유니드,B이하,C,B이하,B이하,2011,2.0,1.0,2.0,2.0
011780,금호석유화학,B+,B,A,A,2021,5.0,3.0,6.0,6.0
011780,금호석유화학,B이하,C,B+,A,2018,2.0,1.0,5.0,6.0
011780,금호석유화학,B+,B,B+,B+,2017,5.0,3.0,5.0,5.0
011780,금호석유화학,B+,B,B+,B+,2016,5.0,3.0,5.0,5.0
